city,latitude,longitude,timestamp,currentspeed,freeflowspeed,currenttraveltime,freeflowtraveltime,confidence,roadclosure,source
Indore,22.7196,75.8577,2025-11-27 16:31:54.646860,1970-01-01 00:00:00.000000011,21,1970-01-01 00:00:00.000000263,1970-01-01 00:00:00.000000138,1.0,False,traffic_live
Dewas,22.9676,76.0534,2025-11-27 16:31:55.936100,1970-01-01 00:00:00.000000034,43,1970-01-01 00:00:00.000001016,1970-01-01 00:00:00.000000804,0.941936,False,traffic_live
Ujjain,23.1765,75.7885,2025-11-27 16:31:57.162614,1970-01-01 00:00:00.000000021,26,1970-01-01 00:00:00.000000364,1970-01-01 00:00:00.000000294,0.81,False,traffic_live
Bhopal,23.2599,77.4126,2025-11-27 16:31:58.423912,1970-01-01 00:00:00.000000018,22,1970-01-01 00:00:00.000000546,1970-01-01 00:00:00.000000447,0.798748,False,traffic_live
Indore,22.7196,75.8577,2025-11-27 16:32:29.955449,1970-01-01 00:00:00.000000011,21,1970-01-01 00:00:00.000000263,1970-01-01 00:00:00.000000138,1.0,False,traffic_live
Dewas,22.9676,76.0534,2025-11-27 16:32:31.314608,1970-01-01 00:00:00.000000034,43,1970-01-01 00:00:00.000001016,1970-01-01 00:00:00.000000804,0.940382,False,traffic_live
Ujjain,23.1765,75.7885,2025-11-27 16:32:32.614397,1970-01-01 00:00:00.000000021,26,1970-01-01 00:00:00.000000364,1970-01-01 00:00:00.000000294,0.8,False,traffic_live
Bhopal,23.2599,77.4126,2025-11-27 16:32:33.861773,1970-01-01 00:00:00.000000018,21,1970-01-01 00:00:00.000000546,1970-01-01 00:00:00.000000468,0.80878,False,traffic_live
Indore,22.7196,75.8577,2025-11-27 16:33:05.505850,1970-01-01 00:00:00.000000012,22,1970-01-01 00:00:00.000000241,1970-01-01 00:00:00.000000131,0.99,False,traffic_live
Dewas,22.9676,76.0534,2025-11-27 16:33:06.971919,1970-01-01 00:00:00.000000034,44,1970-01-01 00:00:00.000001016,1970-01-01 00:00:00.000000785,0.941459,False,traffic_live
Ujjain,23.1765,75.7885,2025-11-27 16:33:08.920213,1970-01-01 00:00:00.000000027,27,1970-01-01 00:00:00.000000283,1970-01-01 00:00:00.000000283,1.0,False,traffic_live
Bhopal,23.2599,77.4126,2025-11-27 16:33:11.155400,1970-01-01 00:00:00.000000018,21,1970-01-01 00:00:00.000000546,1970-01-01 00:00:00.000000468,0.810153,False,traffic_live
Indore,22.7196,75.8577,2025-11-27 16:33:42.694935,1970-01-01 00:00:00.000000011,21,1970-01-01 00:00:00.000000263,1970-01-01 00:00:00.000000138,0.99,False,traffic_live
Dewas,22.9676,76.0534,2025-11-27 16:33:43.988877,1970-01-01 00:00:00.000000034,44,1970-01-01 00:00:00.000001016,1970-01-01 00:00:00.000000785,0.934918,False,traffic_live
Ujjain,23.1765,75.7885,2025-11-27 16:33:45.330055,1970-01-01 00:00:00.000000018,26,1970-01-01 00:00:00.000000425,1970-01-01 00:00:00.000000294,0.815112,False,traffic_live
Bhopal,23.2599,77.4126,2025-11-27 16:33:46.714049,1970-01-01 00:00:00.000000018,21,1970-01-01 00:00:00.000000546,1970-01-01 00:00:00.000000468,0.838705,False,traffic_live
Indore,22.7196,75.8577,2025-11-27 16:34:19.277855,1970-01-01 00:00:00.000000012,22,1970-01-01 00:00:00.000000241,1970-01-01 00:00:00.000000131,1.0,False,traffic_live
Dewas,22.9676,76.0534,2025-11-27 16:34:20.454555,1970-01-01 00:00:00.000000034,44,1970-01-01 00:00:00.000001016,1970-01-01 00:00:00.000000785,0.935459,False,traffic_live
Ujjain,23.1765,75.7885,2025-11-27 16:34:21.692127,1970-01-01 00:00:00.000000018,26,1970-01-01 00:00:00.000000425,1970-01-01 00:00:00.000000294,0.815112,False,traffic_live
Bhopal,23.2599,77.4126,2025-11-27 16:34:22.961144,1970-01-01 00:00:00.000000018,21,1970-01-01 00:00:00.000000546,1970-01-01 00:00:00.000000468,0.840011,False,traffic_live
Indore,22.7196,75.8577,2025-11-27 16:34:56.214205,1970-01-01 00:00:00.000000012,22,1970-01-01 00:00:00.000000241,1970-01-01 00:00:00.000000131,1.0,False,traffic_live
Dewas,22.9676,76.0534,2025-11-27 16:34:57.680175,1970-01-01 00:00:00.000000034,44,1970-01-01 00:00:00.000001016,1970-01-01 00:00:00.000000785,0.935459,False,traffic_live
Ujjain,23.1765,75.7885,2025-11-27 16:34:58.900920,1970-01-01 00:00:00.000000018,26,1970-01-01 00:00:00.000000425,1970-01-01 00:00:00.000000294,0.815112,False,traffic_live
Bhopal,23.2599,77.4126,2025-11-27 16:35:00.109175,1970-01-01 00:00:00.000000018,21,1970-01-01 00:00:00.000000546,1970-01-01 00:00:00.000000468,0.839564,False,traffic_live
Indore,22.7196,75.8577,2025-11-27 16:35:31.580991,1970-01-01 00:00:00.000000012,21,1970-01-01 00:00:00.000000241,1970-01-01 00:00:00.000000138,1.0,False,traffic_live
Dewas,22.9676,76.0534,2025-11-27 16:35:32.795956,1970-01-01 00:00:00.000000034,44,1970-01-01 00:00:00.000001016,1970-01-01 00:00:00.000000785,0.932291,False,traffic_live
