city,latitude,longitude,timestamp,currentSpeed,freeFlowSpeed,currentTravelTime,freeFlowTravelTime,confidence,roadClosure
Indore,22.7196,75.8577,2025-11-14 15:10:03.940826,12,22,241,131,0.99,False
Dewas,22.9676,76.0534,2025-11-14 15:10:04.658539,36,44,960,785,0.968827,False
Ujjain,23.1765,75.7885,2025-11-14 15:10:05.284610,20,25,382,306,0.926522,False
Bhopal,23.2599,77.4126,2025-11-14 15:10:05.911680,17,21,578,468,0.845339,False
Indore,22.7196,75.8577,2025-11-14 15:10:36.553840,13,22,222,131,1.0,False
Dewas,22.9676,76.0534,2025-11-14 15:10:37.180942,36,43,960,804,0.96882,False
Ujjain,23.1765,75.7885,2025-11-14 15:10:37.826133,20,25,382,306,0.92376,False
Bhopal,23.2599,77.4126,2025-11-14 15:10:38.472014,18,22,546,447,0.845339,False
Indore,22.7196,75.8577,2025-11-14 15:11:09.119026,11,21,263,138,1.0,False
Dewas,22.9676,76.0534,2025-11-14 15:11:09.839143,36,43,960,804,0.972465,False
Ujjain,23.1765,75.7885,2025-11-14 15:11:10.468658,20,25,382,306,0.914599,False
Bhopal,23.2599,77.4126,2025-11-14 15:11:11.075547,18,22,546,447,0.845339,False
Indore,22.7196,75.8577,2025-11-14 15:11:41.702732,12,22,241,131,0.99,False
Dewas,22.9676,76.0534,2025-11-14 15:11:42.329839,35,43,987,804,0.972465,False
Ujjain,23.1765,75.7885,2025-11-14 15:11:42.957907,20,25,382,306,0.906266,False
Bhopal,23.2599,77.4126,2025-11-14 15:11:43.584053,18,22,546,447,0.845339,False
Indore,22.7196,75.8577,2025-11-14 15:12:14.368897,12,22,241,131,0.99,False
Dewas,22.9676,76.0534,2025-11-14 15:12:15.121738,35,43,987,804,0.972465,False
Ujjain,23.1765,75.7885,2025-11-14 15:12:15.910710,20,25,382,306,0.896456,False
Bhopal,23.2599,77.4126,2025-11-14 15:12:16.818394,17,21,578,468,0.845339,False
Indore,22.7196,75.8577,2025-11-14 15:12:47.532992,14,22,207,131,0.994655,False
Dewas,22.9676,76.0534,2025-11-14 15:12:48.234928,33,44,1047,785,0.967223,False
Ujjain,23.1765,75.7885,2025-11-14 15:12:48.946411,20,25,382,306,0.910807,False
Bhopal,23.2599,77.4126,2025-11-14 15:12:49.714866,18,21,546,468,0.854062,False
Indore,22.7196,75.8577,2025-11-14 15:13:20.349021,14,22,207,131,0.994655,False
Dewas,22.9676,76.0534,2025-11-14 15:13:20.961885,33,44,1047,785,0.967223,False
Ujjain,23.1765,75.7885,2025-11-14 15:13:21.569494,20,25,382,306,0.910807,False
Bhopal,23.2599,77.4126,2025-11-14 15:13:22.260690,17,21,578,468,0.845339,False
Indore,22.7196,75.8577,2025-11-14 15:13:53.110668,14,22,207,131,0.99,False
Dewas,22.9676,76.0534,2025-11-14 15:13:53.847301,34,44,1016,785,0.962389,False
Ujjain,23.1765,75.7885,2025-11-14 15:13:54.687461,20,25,382,306,0.908077,False
Bhopal,23.2599,77.4126,2025-11-14 15:13:55.334011,17,21,578,468,0.845339,False
Indore,22.7196,75.8577,2025-11-14 15:14:26.009711,16,22,181,131,0.99,False
Dewas,22.9676,76.0534,2025-11-14 15:14:26.732660,34,44,1016,785,0.969036,False
Ujjain,23.1765,75.7885,2025-11-14 15:14:27.526603,20,25,382,306,0.910203,False
Bhopal,23.2599,77.4126,2025-11-14 15:14:28.135787,17,21,578,468,0.845339,False
Indore,22.7196,75.8577,2025-11-14 15:14:58.926910,14,21,207,138,1.0,False
Dewas,22.9676,76.0534,2025-11-14 15:14:59.727830,34,44,1016,785,0.962389,False
Ujjain,23.1765,75.7885,2025-11-14 15:15:00.341721,20,25,382,306,0.904678,False
Bhopal,23.2599,77.4126,2025-11-14 15:15:00.991197,17,21,578,468,0.845339,False
Indore,22.7196,75.8577,2025-11-14 15:15:31.739541,13,22,222,131,1.0,False
Dewas,22.9676,76.0534,2025-11-14 15:15:32.502129,34,44,1016,785,0.962389,False
Ujjain,23.1765,75.7885,2025-11-14 15:15:33.255640,20,25,382,306,0.904678,False
Bhopal,23.2599,77.4126,2025-11-14 15:15:33.994757,17,21,578,468,0.857463,False
Indore,22.7196,75.8577,2025-11-14 15:16:04.784578,13,22,222,131,1.0,False
Dewas,22.9676,76.0534,2025-11-14 15:16:05.643161,34,44,1016,785,0.962389,False
Ujjain,23.1765,75.7885,2025-11-14 15:16:06.372181,19,26,402,294,0.90933,False
Bhopal,23.2599,77.4126,2025-11-14 15:16:07.070760,17,21,578,468,0.857463,False
Indore,22.7196,75.8577,2025-11-14 15:16:37.711691,12,22,241,131,1.0,False
Dewas,22.9676,76.0534,2025-11-14 15:16:38.347807,34,44,1016,785,0.962389,False
Ujjain,23.1765,75.7885,2025-11-14 15:16:38.987295,19,25,402,306,0.896535,False
Bhopal,23.2599,77.4126,2025-11-14 15:16:39.745768,17,21,578,468,0.857463,False
Indore,22.7196,75.8577,2025-11-14 15:17:10.368057,11,22,263,131,0.99,False
Dewas,22.9676,76.0534,2025-11-14 15:17:10.977498,33,44,1047,785,0.958912,False
Ujjain,23.1765,75.7885,2025-11-14 15:17:11.604014,19,25,402,306,0.893772,False
Bhopal,23.2599,77.4126,2025-11-14 15:17:12.235553,17,21,578,468,0.861504,False
Indore,22.7196,75.8577,2025-11-14 15:17:42.869679,8,21,362,138,1.0,False
Dewas,22.9676,76.0534,2025-11-14 15:17:43.483367,34,44,1016,785,0.958642,False
Ujjain,23.1765,75.7885,2025-11-14 15:17:44.109091,19,25,402,306,0.898917,False
Bhopal,23.2599,77.4126,2025-11-14 15:17:44.723404,17,21,578,468,0.886631,False
